,Compound,Negative,Neutral,Positive,Source,Tweet Date,Tweet Text,Tweets Ago
30,-0.4767,0.508,0.508,0.0,@BBC,2018-06-08 22:03:54,@ProSoundNews @BBC Wrong picture,31
31,0.0,0.0,0.0,0.0,@BBC,2018-06-08 22:03:51,@BunmiIremide @RuggedyBaba @CNN @BBC @BBCAfrica @PulseNigeria247 @theNETng @wdbnigeria Amen!,32
32,0.0,0.0,0.0,0.0,@BBC,2018-06-08 22:03:12,"RT @BBC: 🌊💙 A message from Sir David Attenborough for #WorldOceansDay. 
 https://t.co/778x4RMMRv",33
33,0.2263,0.074,0.074,0.108,@BBC,2018-06-08 22:02:29,RT @muschifuss998: Let us hope that the @BBC shows much of the propaganda campaign used to induce that result  .. buses with £350 million..…,34
34,0.0,0.0,0.0,0.0,@BBC,2018-06-08 22:02:24,"RT @Allatsea4: @BBC @Britnatureguide 5 factoids, on the #HighSeas (and why they need protection):

* 2 million unidentified species

* 95 p…",35
35,0.0,0.0,0.0,0.0,@BBC,2018-06-08 22:02:20,"RT @BBC: 🌊💙 A message from Sir David Attenborough for #WorldOceansDay. 
 https://t.co/778x4RMMRv",36
36,-0.8122,0.286,0.286,0.0,@BBC,2018-06-08 22:02:16,RT @Mekeme6: The world can no be so indifferent or quiet in the face of this genocide perpetrating by @PR_Paul_BIYA  and his brutal militar…,37
37,0.0,0.0,0.0,0.0,@BBC,2018-06-08 22:01:57,"@BBC @Britnatureguide 5 factoids, on the #HighSeas (and why they need protection):

* 2 million unidentified specie… https://t.co/42J6u9Trms",38
38,0.4019,0.0,0.0,0.144,@BBC,2018-06-08 22:01:55,"@ValForsyth1 @BBC Yes he did. A long meeting, and a running text conversation throughout filming. Norman was funny… https://t.co/0HoLM8oqGp",39
39,-0.5106,0.18,0.18,0.0,@BBC,2018-06-08 22:01:51,"RT @judithnwana: #SouthernCameroons pro-indep leaders &amp; @Refugees abducted in #Nigeria, allegedly extradited to #Cameroon by @NGRPresident…",40
40,-0.4767,0.154,0.154,0.0,@BBC,2018-06-08 22:01:49,Ileese ìròyìn @BBC ilẹ̀ Adúláwọ̀ ṣe àlàyé nípa ikú Moshood Kashimawo Olawale Abiola GCFR. 😢 #RIP https://t.co/GpVXxwSiXG,41
41,-0.3089,0.148,0.148,0.0,@BBC,2018-06-08 22:01:40,"RT @BBC: 'If the oceans don't stay healthy, human beings are doomed.' 
#WorldOceansDay https://t.co/5aTLEHZ9Mi",42
42,0.7896,0.0,0.0,0.275,@BBC,2018-06-08 22:01:24,"RT @ValeSilingardi: Please guys, make it happen! Let's give space and fuel to fantasy and creativity! 😃 👽👻🤖💑👑🔫🔎📚
#500words
 
@CHIMPSINSOCKS…",43
43,0.7896,0.0,0.0,0.296,@BBC,2018-06-08 22:00:54,"Please guys, make it happen! Let's give space and fuel to fantasy and creativity! 😃 👽👻🤖💑👑🔫🔎📚
#500words… https://t.co/Bfdkpobacd",44
44,0.0,0.0,0.0,0.0,@BBC,2018-06-08 22:00:40,Hey @BBC @Channel4  why can’t there be equal representation on panel shows? You do realise that in reality there is… https://t.co/bbCUzllpmk,45
45,0.8271,0.0,0.0,0.293,@BBC,2018-06-08 22:00:19,RT @NijaActivist: Finally this Sars Guy got to my best friend today #EndSars Story so long but I’m glad he’s Out @segalink @BBCBreaking @BB…,46
46,0.4574,0.0,0.0,0.125,@BBC,2018-06-08 22:00:15,"Heads up! The pavement along the Yanta Road in Xi'an now has a special lane for ""phubbers"" - people who stare at th… https://t.co/X4PLWTDJNJ",47
47,-0.6077,0.24,0.24,0.093,@BBC,2018-06-08 22:00:07,@BBCWorld @BBC I'll tell ya what's behind it mate ... most women are sick and tired of banal journalism like yours.,48
48,0.0,0.0,0.0,0.0,@BBC,2018-06-08 22:00:05,Thats why their viewership numbers are PLUNGING!!! (oh Advertisers take note!) @DNC @MSNBC @POTUS @ABC @CNN @NBC… https://t.co/Gkk5Q8eeYB,49
49,0.4215,0.0,0.0,0.123,@BBC,2018-06-08 22:00:00,"NIGHT RECAP: @BBC to Close Iconic Maida Vale Studios, which hosted sessions from the likes of Bing Crosby, the Beat… https://t.co/KoQg3S5OmK",50
50,0.7759,0.067,0.067,0.268,@BBC,2018-06-08 21:59:27,"Is the @BBC, especially the @BBCNews trustworthy?
#totp #PMQs #bbcqt #marr #boris #TheresaMay #NHS #wca #pip #JC4PM 😂",51
51,0.8271,0.0,0.0,0.293,@BBC,2018-06-08 21:59:12,RT @NijaActivist: Finally this Sars Guy got to my best friend today #EndSars Story so long but I’m glad he’s Out @segalink @BBCBreaking @BB…,52
52,0.0,0.0,0.0,0.0,@BBC,2018-06-08 21:58:32,RT @Johnkamau7: @beverlyfelix3 @hickoryhill8520 @loratoug @DrLynnList @ToddTrotter3 @WhatASaviour7 @aref4950 @AntonyRugui @dibie_joy @poemo…,53
53,0.0,0.0,0.0,0.0,@BBC,2018-06-08 21:58:27,RT @BBC: Little girls don’t stay little forever. https://t.co/3yThJBbcUs,54
54,0.8934,0.0,0.0,0.416,@BBC,2018-06-08 21:58:15,"RT @jasonsfolly: Glorious day celebrating young talent at the #500words jamboree. Reunited with the luminous @CHIMPSINSOCKS, fanboyed shame…",55
