,Compound,Negative,Neutral,Positive,Source,Tweet Date,Tweet Text,Tweets Ago
222,0.0,0.0,0.0,0.0,@CBS,2018-03-29 18:11:58,@LAURALOPEZ2010 @swatcbs @CBS Besos!!,105
223,0.0,0.0,0.0,0.0,@CBS,2018-03-29 18:11:50,"RT @ACMawards: Even more performers have been added to the 53rd #ACMawards! Plus presenters @David_Boreanaz, @ajohnbuckley, @camcountry, Sa…",106
224,0.3182,0.0,0.0,0.099,@CBS,2018-03-29 18:11:19,How many of the 18 million viewers would not have watched Roseanne if media had told them the truth about her?… https://t.co/rjafiUuopN,107
225,0.0,0.0,0.0,0.0,@CBS,2018-03-29 18:11:11,@5dChief @StarTrekRoom @WritersDigest @WGAWest @The100writers @MicheaLeeNelson @RoboticsTSF @WorldAndScience @CBS I… https://t.co/BTjRE439IS,108
226,-0.6801,0.203,0.203,0.0,@CBS,2018-03-29 18:11:07,"RT @1SnoozyQ: 🆘 @CNN @MSNBC @maddow @ABC @CBS
👉THE Most Dangerous Thing Happening in America right now that no one's talking about is the #…",109
227,-0.6371,0.154,0.154,0.0,@CBS,2018-03-29 18:10:54,"RT @Missy50hk1: THE NEW ROSEANNE SHOW DOES NOT AIR ON @CBS, THEY ARE @RoseanneOnABC !!!!!!!  BOYCOTT THE NEW ROSEANNE SHOW ON @ABC @ABC SHO…",110
228,-0.25,0.185,0.185,0.106,@CBS,2018-03-29 18:10:24,@Dodgers @dodgersPS Why wasn't the crew wearing masks while working hard to clean up the stench? Just watching on t… https://t.co/kbse7JuB0r,111
229,0.0,0.0,0.0,0.0,@CBS,2018-03-29 18:10:01,"RT @Carlducena: 3-29-2011 on the set of  @bluebloods_cbs @CBS @carlducena and #KennyChin 
#Chinatown #NYC #BlueBloods #CBS #Actor #NormalTo…",112
230,0.3612,0.0,0.0,0.2,@CBS,2018-03-29 18:09:48,RT @JustaThought47: Eager to see these powerhouses own #CagneyandLacey @CBS https://t.co/0wYobq7rAP,113
231,-0.6027,0.567,0.567,0.0,@CBS,2018-03-29 18:09:09,@sirDukeDevin @CBS you SUCK!,114
232,0.0,0.0,0.0,0.0,@CBS,2018-03-29 18:09:01,"RT @CBS: Will @HIGHVALLEY, @LancoMusic, @LOCASHmusic, @MidlandOfficial, or @runawayjune be named New Vocal Duo Or Group Of The Year at the…",115
233,0.0,0.0,0.0,0.0,@CBS,2018-03-29 18:08:28,I'm watching NCIS @NCIS_CBS #NCIS @CBS #CBS via @TelfieApp #Telfie https://t.co/3aftpazMYw,116
234,0.3818,0.096,0.096,0.189,@CBS,2018-03-29 18:08:10,RT @CBS: Count on Entertainer Of The Year nominee @LukeBryanOnline to crash the party with an epic performance at the 53rd #ACMawards. Tune…,117
235,0.6369,0.0,0.0,0.181,@CBS,2018-03-29 18:08:07,"Ms. @PaulaEbbenWBZ, @SylviaAcevedo &amp; an 1995 @CBS logo from that era Paula love to watch on this #TBT. @LiamWBZ… https://t.co/4QlrkqWv0Z",118
236,0.2023,0.193,0.193,0.255,@CNN,2018-03-29 18:14:42,"RT @CNN: This curious cheetah hopped into a car on a safari trip. Thankfully, everyone remained calm, and no one was hurt https://t.co/2BxR…",1
237,0.2023,0.193,0.193,0.255,@CNN,2018-03-29 18:14:41,"RT @CNN: This curious cheetah hopped into a car on a safari trip. Thankfully, everyone remained calm, and no one was hurt https://t.co/2BxR…",2
238,0.0,0.0,0.0,0.0,@CNN,2018-03-29 18:14:40,@CNN Tit for tat..lol sounds about Trump &amp; Putin😕,3
239,-0.1779,0.116,0.116,0.0,@CNN,2018-03-29 18:14:40,"RT @CNN: Trump is touting his infrastructure plans in in Ohio

Live updates: https://t.co/MzxsHvkBYZ",4
240,-0.5859,0.174,0.174,0.0,@CNN,2018-03-29 18:14:39,@President1Trump @POTUS @wolfblitzer @CNN It was bullshit from the start. They knew it wasn't going anywhere. It wa… https://t.co/bzaYSjrrMt,5
241,-0.4939,0.259,0.259,0.0,@CNN,2018-03-29 18:14:39,@STEMaryville @CNN @Kreativity_Kim Missouri has no miminum age to be left alone at home.,6
242,0.5267,0.0,0.0,0.362,@CNN,2018-03-29 18:14:38,"@CNN @zbyronwolf That's obstruction of justice. 
Period.",7
243,0.0,0.0,0.0,0.0,@CNN,2018-03-29 18:14:37,"@derekgfc1 @CNN Troll much, comrade.",8
244,0.0,0.0,0.0,0.0,@CNN,2018-03-29 18:14:35,"@CNN #LetTheGamesBegin 
#ThursdayThoughts",9
245,0.3818,0.0,0.0,0.286,@CNN,2018-03-29 18:14:35,RT @CNN: Trump vs. Amazon: Let's set the record straight https://t.co/wLAg12acye,10
246,0.0,0.0,0.0,0.0,@CNN,2018-03-29 18:14:35,@MamaRee1987 @CNN @amazon @realDonaldTrump @HillaryClinton @BarackObama @BillGates @FoxNews @NFL .@BillyBaldwin How… https://t.co/wxN8xV1RYU,11
247,0.0,0.0,0.0,0.0,@CNN,2018-03-29 18:14:34,"RT @AllanMargolin: LOCK HIM UP.

House Dems call for FBI to probe into Kushner's ties to Saudi crown prince https://t.co/JgL2bRo5Rl via @CN…",12
248,0.6784,0.0,0.0,0.433,@CNN,2018-03-29 18:14:33,"@CNN EDS KEY TO SUCCESS, BY MEX!!!",13
249,-0.0516,0.118,0.118,0.0,@CNN,2018-03-29 18:14:33,@CNN Just a Putin trump trick. I know they're still doin it,14
250,-0.4215,0.141,0.141,0.0,@CNN,2018-03-29 18:14:32,Much to the dismay of @DNC @CNN @MSNBC @HuffPost @NBCNews @CBSNews and all the Snowflakes across America. https://t.co/h8tFHKgIrY,15
251,0.0,0.0,0.0,0.0,@CNN,2018-03-29 18:14:31,@CNN https://t.co/CAegFMGMkS,16
252,-0.3818,0.102,0.102,0.0,@CNN,2018-03-29 18:14:30,RT @CNN: JUST IN: Russia is expelling US diplomats and closing the US consulate in St. Petersburg in retaliation for a similar move by Wash…,17
253,0.0516,0.092,0.092,0.1,@CNN,2018-03-29 18:14:29,"RT @CNN: More than 200 retired US diplomats are sounding the alarm about diplomacy under Trump, urging lawmakers to ensure the State Depart…",18
254,-0.4753,0.128,0.128,0.0,@CNN,2018-03-29 18:14:29,RT @President1Trump: #BREAKING Judge denies stormy Daniels motion to depose @POTUS! Take that @wolfblitzer &amp; all of you creepers at @CNN ht…,19
255,-0.4753,0.128,0.128,0.0,@CNN,2018-03-29 18:14:26,RT @President1Trump: #BREAKING Judge denies stormy Daniels motion to depose @POTUS! Take that @wolfblitzer &amp; all of you creepers at @CNN ht…,20
